ISO1-BL	CanS-SI	OreR-PB1	w118
chr2R_5605001	chr2L_9660001	chr2L_5095001	chr2L_15880001
chr2R_5620001	chr2L_9895001	chr2L_5145001	chr2L_15890001
chr2R_5940001	chr2L_10110001	chr2L_5155001	chr2L_16490001
chr2R_6185001	chr2L_10175001	chr2L_5210001	chr2L_16585001
chr2R_6505001	chr2L_10940001	chr2L_5625001	chr2L_17040001
chr2R_6625001	chr2L_12155001	chr2L_5630001	chr2L_17430001
chr2R_7130001	chr2L_12225001	chr2L_5645001	chr2L_17880001
chr2R_7485001	chr2L_12525001	chr2L_5705001	chr2L_17955001
chr2R_7885001	chr2L_12630001	chr2L_5710001	chr2L_17960001
chr2R_7950001	chr2L_13265001	chr2L_6205001	chr2L_18040001
chr2R_8525001	chr2L_13425001	chr2L_6270001	chr2L_18060001
chr2R_8650001	chr2L_13580001	chr2L_6275001	chr2L_18275001
chr2R_8745001	chr2L_13685001	chr2L_6590001	chr2L_19080001
chr2R_9015001	chr2L_13725001	chr2L_6685001	chr2L_19085001
chr2R_9270001	chr2L_13785001	chr2L_6715001	chr2L_19210001
chr2R_9785001	chr2L_13785001	chr2L_6895001	chr2L_19455001
chr2R_10040001	chr2L_13885001	chr2L_7000001	chr2L_19785001
chr2R_10355001	chr2L_13940001	chr2L_7020001	chr2L_19870001
chr2R_10975001	chr2L_13960001	chr2L_7090001	chr2L_19975001
chr2R_13585001	chr2L_14050001	chr2L_7395001	chr2L_19985001
chr2R_13995001	chr2L_14095001	chr2L_7405001	chr2L_20125001
chr2R_14010001	chr2L_14265001	chr2L_7455001	chr2L_20390001
chr2R_14760001	chr2L_14770001	chr2L_7455001	chr2L_20615001
chr2R_16125001	chr2L_14960001	chr2L_7505001	chr2L_20700001
chr2R_16370001	chr2L_15030001	chr2L_7915001	chr2L_20905001
chr2R_16975001	chr2L_15030001	chr2L_7930001	chr2L_20935001
chr2R_17105001	chr2L_15100001	chr2L_7990001	chr2L_21105001
chr2R_17455001	chr2L_15140001	chr2L_8155001	chr2L_21260001
chr2R_17485001	chr2L_15235001	chr2L_8330001	chr2L_21340001
chr2R_18760001	chr2L_15445001	chr2L_8675001	chr2L_21860001
chr2R_19255001	chr2L_15875001	chr2L_8805001	chr2L_22220001
chr2R_19390001	chr2L_15920001	chr2L_8860001	chr2L_23065001
chr2R_19525001	chr2L_16215001	chr2L_8910001	chr2L_23080001
chr2R_19765001	chr2L_16585001	chr2L_8955001	chr2R_540001
chr2R_19790001	chr2L_16585001	chr2L_8960001	chr2R_965001
chr2R_20440001	chr2L_16930001	chr2L_8990001	chr2R_1265001
chr2R_21110001	chr2L_17185001	chr2L_9050001	chr2R_1395001
chr2R_21415001	chr2L_17325001	chr2L_9085001	chr2R_2945001
chr2R_21605001	chr2L_17570001	chr2L_9200001	chr2R_3005001
chr2R_22785001	chr2L_17755001	chr2L_9295001	chr2R_3065001
chr2R_23815001	chr2L_17800001	chr2L_9295001	chr2R_3145001
chr2R_24340001	chr2L_17885001	chr2L_9350001	chr2R_3580001
chr3L_40001	chr2L_17935001	chr2L_9485001	chr2R_4605001
chr3L_510001	chr2L_19080001	chr2L_9615001	chr2R_4670001
chr3L_810001	chr2L_19085001	chr2L_9705001	chr2R_5170001
chr3L_830001	chr2L_19260001	chr2L_9800001	chr2R_5170001
chr3L_1280001	chr2L_19620001	chr2L_9820001	chr2R_5175001
chr3L_1590001	chr2L_19625001	chr2L_9870001	chr2R_5260001
chr3L_2160001	chr2L_19690001	chr2L_9880001	chr2R_5410001
chr3L_2715001	chr2L_19810001	chr2L_10060001	chr2R_5410001
chr3L_3615001	chr2L_19815001	chr2L_10100001	chr2R_5530001
chr3L_4390001	chr2L_19895001	chr2L_10565001	chr2R_5540001
chr3L_4700001	chr2L_19945001	chr2L_10580001	chr2R_5670001
chr3L_6050001	chr2L_20120001	chr2L_10580001	chr2R_5800001
chr3L_7965001	chr2L_20265001	chr2L_10895001	chr2R_5840001
chr3L_9290001	chr2L_20320001	chr2L_11485001	chr2R_5850001
chr3L_9785001	chr2L_20845001	chr2L_11525001	chr2R_6960001
chr3L_10055001	chr2L_20935001	chr2L_11525001	chr2R_7545001
chr3L_10105001	chr2L_21240001	chr2L_11595001	chr2R_7755001
chr3L_10430001	chr2L_21650001	chr2L_11735001	chr2R_7865001
chr3L_11685001	chr2L_21730001	chr2L_11785001	chr2R_8175001
chr3L_11915001	chr2L_22075001	chr2L_11855001	chr2R_8300001
chr3L_12035001	chr2L_22575001	chr2L_11865001	chr2R_8325001
chr3L_12480001	chr2L_23065001	chr2L_11890001	chr2R_8375001
chr3L_13610001	chr2L_23310001	chr2L_11890001	chr2R_8500001
chr3L_14325001	chr2R_325001	chr2L_12055001	chr2R_8500001
chr3L_15710001	chr2R_540001	chr2L_12195001	chr2R_8760001
chr3L_16000001	chr2R_965001	chr2L_12280001	chr2R_8860001
chr3L_16055001	chr2R_2875001	chr2L_12285001	chr2R_9005001
chr3L_17715001	chr2R_4670001	chr2L_12290001	chr2R_9405001
chr3L_18645001	chr2R_5070001	chr2L_12305001	chr2R_9440001
chr3L_18810001	chr2R_5175001	chr2L_12320001	chr2R_9850001
chr3L_19870001	chr2R_5280001	chr2L_12510001	chr2R_9855001
chr3L_21115001	chr2R_5410001	chr2L_12550001	chr2R_9950001
chr3L_21240001	chr2R_5530001	chr2L_12590001	chr2R_9950001
chr3L_22355001	chr2R_5670001	chr2L_12705001	chr2R_10775001
chr3L_22505001	chr2R_5705001	chr2L_12795001	chr2R_10915001
chr3L_24035001	chr2R_5720001	chr2L_12810001	chr2R_11130001
chr3L_25440001	chr2R_5750001	chr2L_12860001	chr2R_11135001
chr3L_25800001	chr2R_5780001	chr2L_12900001	chr2R_11195001
chr3L_27715001	chr2R_5940001	chr2L_12930001	chr2R_11385001
chr3R_555001	chr2R_6680001	chr2L_13075001	chr2R_11475001
chr3R_3280001	chr2R_8190001	chr2L_13110001	chr2R_11950001
chr3R_4065001	chr2R_8285001	chr2L_13115001	chr2R_12475001
chr3R_5065001	chr2R_8415001	chr2L_13145001	chr2R_12950001
chr3R_5700001	chr2R_8640001	chr2L_13150001	chr2R_13030001
chr3R_5710001	chr2R_9270001	chr2L_13180001	chr2R_13475001
chr3R_6170001	chr2R_9325001	chr2L_13190001	chr2R_13685001
chr3R_6955001	chr2R_9405001	chr2L_13265001	chr2R_14075001
chr3R_9460001	chr2R_9865001	chr2L_13270001	chr2R_14090001
chr3R_9795001	chr2R_9950001	chr2L_13290001	chr2R_14330001
chr3R_10165001	chr2R_10000001	chr2L_13330001	chr2R_14490001
chr3R_10540001	chr2R_10010001	chr2L_13425001	chr2R_14510001
chr3R_12230001	chr2R_10025001	chr2L_13580001	chr2R_15005001
chr3R_14830001	chr2R_10075001	chr2L_13595001	chr2R_15420001
chr3R_15220001	chr2R_10130001	chr2L_13625001	chr2R_15500001
chr3R_15755001	chr2R_10165001	chr2L_13695001	chr2R_15590001
chr3R_16130001	chr2R_11035001	chr2L_13710001	chr2R_15650001
chr3R_16230001	chr2R_11195001	chr2L_13730001	chr2R_15830001
chr3R_18075001	chr2R_11365001	chr2L_13885001	chr2R_15860001
chr3R_18440001	chr2R_11390001	chr2L_13895001	chr2R_15910001
chr3R_19500001	chr2R_12140001	chr2L_14035001	chr2R_16280001
chr3R_23390001	chr2R_12265001	chr2L_14040001	chr2R_16515001
chr3R_23600001	chr2R_12690001	chr2L_14045001	chr2R_16655001
chr3R_23720001	chr2R_12765001	chr2L_14100001	chr2R_16890001
chr3R_23725001	chr2R_13625001	chr2L_14175001	chr2R_17270001
chr3R_24115001	chr2R_13650001	chr2L_14245001	chr2R_17530001
chr3R_24605001	chr2R_13795001	chr2L_14260001	chr2R_17830001
chr3R_24680001	chr2R_13930001	chr2L_14335001	chr2R_17965001
chr3R_24865001	chr2R_14130001	chr2L_14360001	chr2R_18060001
chr3R_25050001	chr2R_14330001	chr2L_14415001	chr2R_18545001
chr3R_25125001	chr2R_14515001	chr2L_14455001	chr2R_18665001
chr3R_25350001	chr2R_14735001	chr2L_14460001	chr2R_18780001
chr3R_25505001	chr2R_14765001	chr2L_14615001	chr2R_18915001
chr3R_25855001	chr2R_14880001	chr2L_14850001	chr2R_19055001
chr3R_26090001	chr2R_15170001	chr2L_14875001	chr2R_19115001
chr3R_26195001	chr2R_15390001	chr2L_14940001	chr2R_19615001
chr3R_26625001	chr2R_16020001	chr2L_15195001	chr2R_19630001
chr3R_26795001	chr2R_16060001	chr2L_15250001	chr2R_19695001
chr3R_27605001	chr2R_16150001	chr2L_15530001	chr2R_19870001
chr3R_27615001	chr2R_16515001	chr2L_15615001	chr2R_20410001
chr3R_27680001	chr2R_16655001	chr2L_15735001	chr2R_20435001
chr3R_27850001	chr2R_16890001	chr2L_15775001	chr2R_20440001
chr3R_27895001	chr2R_16935001	chr2L_15850001	chr2R_20445001
chr3R_28215001	chr2R_17245001	chr2L_15865001	chr2R_20470001
chr3R_28710001	chr2R_17635001	chr2L_15880001	chr2R_20890001
chr3R_29000001	chr2R_17640001	chr2L_15905001	chr2R_20965001
chr3R_29775001	chr2R_17730001	chr2L_15945001	chr2R_21260001
chr3R_30155001	chr2R_18075001	chr2L_15950001	chr2R_21610001
chr3R_31885001	chr2R_18255001	chr2L_15975001	chr2R_21775001
chr4_940001	chr2R_18580001	chr2L_15985001	chr2R_21935001
chrX_690001	chr2R_18645001	chr2L_16065001	chr2R_22025001
chrX_860001	chr2R_18730001	chr2L_16080001	chr2R_22545001
chrX_1130001	chr2R_18870001	chr2L_16120001	chr2R_23115001
chrX_1595001	chr2R_19000001	chr2L_16125001	chr2R_23250001
chrX_1985001	chr2R_19090001	chr2L_16160001	chr2R_23265001
chrX_2065001	chr2R_19165001	chr2L_16250001	chr2R_23720001
chrX_2745001	chr2R_19315001	chr2L_16360001	chr2R_24615001
chrX_3375001	chr2R_19355001	chr2L_16360001	chr2R_24720001
chrX_3390001	chr2R_19410001	chr2L_16370001	chr2R_24850001
chrX_3390001	chr2R_19570001	chr2L_16470001	chr2R_24875001
chrX_3390001	chr2R_19795001	chr2L_16555001	chr3L_820001
chrX_3390001	chr2R_19925001	chr2L_16570001	chr3L_935001
chrX_3640001	chr2R_20045001	chr2L_16690001	chr3L_945001
chrX_3715001	chr2R_20090001	chr2L_16795001	chr3L_985001
chrX_4130001	chr2R_20225001	chr2L_16880001	chr3L_1030001
chrX_4490001	chr2R_20310001	chr2L_16995001	chr3L_1105001
chrX_4605001	chr2R_20395001	chr2L_17050001	chr3L_1335001
chrX_4985001	chr2R_20530001	chr2L_17065001	chr3L_1440001
chrX_5040001	chr2R_20555001	chr2L_17175001	chr3L_1590001
chrX_5750001	chr2R_20670001	chr2L_17175001	chr3L_2360001
chrX_6505001	chr2R_21130001	chr2L_17180001	chr3L_2425001
chrX_6540001	chr2R_21585001	chr2L_17190001	chr3L_2515001
chrX_7625001	chr2R_21595001	chr2L_17205001	chr3L_3105001
chrX_7905001	chr2R_21595001	chr2L_17205001	chr3L_3250001
chrX_8515001	chr2R_21935001	chr2L_17230001	chr3L_3450001
chrX_8945001	chr2R_21995001	chr2L_17280001	chr3L_3540001
chrX_9340001	chr2R_22205001	chr2L_17330001	chr3L_3855001
chrX_10555001	chr2R_22345001	chr2L_17385001	chr3L_4205001
chrX_10755001	chr2R_22360001	chr2L_17390001	chr3L_4345001
chrX_11955001	chr2R_22650001	chr2L_17450001	chr3L_4355001
chrX_12050001	chr2R_22740001	chr2L_17620001	chr3L_4755001
chrX_12435001	chr2R_23115001	chr2L_17710001	chr3L_4895001
chrX_12555001	chr2R_23210001	chr2L_17810001	chr3L_5265001
chrX_13155001	chr2R_23430001	chr2L_17815001	chr3L_5285001
chrX_13275001	chr2R_23435001	chr2L_17845001	chr3L_5690001
chrX_13715001	chr2R_23605001	chr2L_17865001	chr3L_5740001
chrX_14825001	chr2R_23920001	chr2L_17885001	chr3L_5990001
chrX_14985001	chr2R_24210001	chr2L_17915001	chr3L_6215001
chrX_15405001	chr2R_24365001	chr2L_18020001	chr3L_6270001
chrX_15815001	chr2R_24420001	chr2L_18030001	chr3L_6525001
chrX_17500001	chr2R_24465001	chr2L_18060001	chr3L_6690001
chrX_19015001	chr3L_295001	chr2L_18165001	chr3L_6975001
chrX_19095001	chr3L_370001	chr2L_18175001	chr3L_7130001
chrX_19745001	chr3L_665001	chr2L_18175001	chr3L_7180001
chrX_19885001	chr3L_785001	chr2L_18395001	chr3L_7230001
chrX_20120001	chr3L_1375001	chr2L_18495001	chr3L_7310001
chrX_20445001	chr3L_1975001	chr2L_18515001	chr3L_7385001
chrY_310001	chr3L_1990001	chr2L_18565001	chr3L_7560001
chrY_535001	chr3L_1995001	chr2L_18570001	chr3L_7645001
chrY_860001	chr3L_2225001	chr2L_18660001	chr3L_7850001
chrY_2720001	chr3L_2425001	chr2L_18675001	chr3L_7995001
chrY_2720001	chr3L_2940001	chr2L_18925001	chr3L_8930001
chrY_2720001	chr3L_3020001	chr2L_19015001	chr3L_9135001
chrY_2770001	chr3L_3105001	chr2L_19155001	chr3L_9230001
	chr3L_3745001	chr2L_19210001	chr3L_9520001
	chr3L_3760001	chr2L_19220001	chr3L_9645001
	chr3L_4755001	chr2L_19360001	chr3L_10025001
	chr3L_5090001	chr2L_19425001	chr3L_10035001
	chr3L_5285001	chr2L_19565001	chr3L_10390001
	chr3L_5370001	chr2L_19610001	chr3L_10550001
	chr3L_5435001	chr2L_19625001	chr3L_11310001
	chr3L_5760001	chr2L_19630001	chr3L_11530001
	chr3L_6640001	chr2L_19640001	chr3L_11655001
	chr3L_7645001	chr2L_19765001	chr3L_11685001
	chr3L_7995001	chr2L_19935001	chr3L_11750001
	chr3L_8030001	chr2L_19995001	chr3L_11815001
	chr3L_8265001	chr2L_19995001	chr3L_11850001
	chr3L_8320001	chr2L_20125001	chr3L_11895001
	chr3L_9040001	chr2L_20140001	chr3L_12075001
	chr3L_9250001	chr2L_20140001	chr3L_12165001
	chr3L_9515001	chr2L_20240001	chr3L_12860001
	chr3L_9590001	chr2L_20265001	chr3L_12875001
	chr3L_9770001	chr2L_20300001	chr3L_13360001
	chr3L_9820001	chr2L_20330001	chr3L_13620001
	chr3L_9910001	chr2L_20365001	chr3L_13685001
	chr3L_10055001	chr2L_20490001	chr3L_13685001
	chr3L_10085001	chr2L_20530001	chr3L_13780001
	chr3L_10095001	chr2L_20925001	chr3L_14285001
	chr3L_10670001	chr2L_20930001	chr3L_14585001
	chr3L_10675001	chr2L_20935001	chr3L_14815001
	chr3L_10695001	chr2L_21095001	chr3L_14855001
	chr3L_10810001	chr2L_21110001	chr3L_15035001
	chr3L_10990001	chr2L_21260001	chr3L_15095001
	chr3L_11005001	chr2L_21325001	chr3L_15145001
	chr3L_11520001	chr2L_21360001	chr3L_15170001
	chr3L_11580001	chr2L_21400001	chr3L_15265001
	chr3L_11815001	chr2L_21555001	chr3L_15325001
	chr3L_11875001	chr2L_21570001	chr3L_15370001
	chr3L_12075001	chr2L_21580001	chr3L_15840001
	chr3L_12165001	chr2L_21735001	chr3L_15915001
	chr3L_12220001	chr2L_21905001	chr3L_16280001
	chr3L_12230001	chr2L_22000001	chr3L_16475001
	chr3L_12300001	chr2L_22065001	chr3L_16480001
	chr3L_12720001	chr2L_22105001	chr3L_16795001
	chr3L_13210001	chr2L_22150001	chr3L_17005001
	chr3L_13355001	chr2L_22365001	chr3L_17135001
	chr3L_13640001	chr2L_22640001	chr3L_17140001
	chr3L_13670001	chr2L_22645001	chr3L_17600001
	chr3L_13670001	chr2L_22705001	chr3L_18790001
	chr3L_13680001	chr2L_23030001	chr3L_18815001
	chr3L_13895001	chr2L_23065001	chr3L_18815001
	chr3L_14705001	chr2L_23075001	chr3L_19090001
	chr3L_14740001	chr2L_23295001	chr3L_19135001
	chr3L_14745001	chr2L_23295001	chr3L_19335001
	chr3L_15035001	chr2L_23310001	chr3L_19380001
	chr3L_15095001	chr2R_540001	chr3L_19435001
	chr3L_15325001	chr2R_950001	chr3L_19450001
	chr3L_15420001	chr2R_965001	chr3L_19510001
	chr3L_15720001	chr2R_1080001	chr3L_19620001
	chr3L_15885001	chr2R_1340001	chr3L_19950001
	chr3L_16660001	chr2R_1370001	chr3L_20485001
	chr3L_16820001	chr2R_1375001	chr3L_21295001
	chr3L_16860001	chr2R_1435001	chr3L_22145001
	chr3L_16865001	chr2R_1515001	chr3L_22380001
	chr3L_16885001	chr2R_1875001	chr3L_23025001
	chr3L_17075001	chr2R_2140001	chr3L_23115001
	chr3L_17255001	chr2R_2525001	chr3L_23280001
	chr3L_17530001	chr2R_2945001	chr3L_24025001
	chr3L_17705001	chr2R_2965001	chr3L_24515001
	chr3L_18180001	chr2R_3005001	chr3L_25160001
	chr3L_18225001	chr2R_3065001	chr3L_25230001
	chr3L_18295001	chr2R_3065001	chr3L_25270001
	chr3L_18430001	chr2R_3145001	chr3L_27415001
	chr3L_18595001	chr2R_3915001	chr3R_720001
	chr3L_18730001	chr2R_4260001	chr3R_2470001
	chr3L_18810001	chr2R_4260001	chr3R_2995001
	chr3L_19050001	chr2R_4510001	chr3R_4190001
	chr3L_19100001	chr2R_4510001	chr3R_4200001
	chr3L_19240001	chr2R_4555001	chr3R_4385001
	chr3L_19335001	chr2R_4670001	chr3R_4575001
	chr3L_19410001	chr2R_4885001	chr3R_5280001
	chr3L_19430001	chr2R_5035001	chr3R_6035001
	chr3L_19450001	chr2R_5175001	chr3R_6505001
	chr3L_19480001	chr2R_5215001	chr3R_6520001
	chr3L_19620001	chr2R_5280001	chr3R_6885001
	chr3L_20220001	chr2R_5300001	chr3R_7235001
	chr3L_20270001	chr2R_5370001	chr3R_7265001
	chr3L_20320001	chr2R_5410001	chr3R_7520001
	chr3L_20360001	chr2R_5410001	chr3R_7965001
	chr3L_20365001	chr2R_5410001	chr3R_8055001
	chr3L_20765001	chr2R_5470001	chr3R_8070001
	chr3L_21185001	chr2R_5520001	chr3R_9190001
	chr3L_21635001	chr2R_5530001	chr3R_10510001
	chr3L_21745001	chr2R_5530001	chr3R_11115001
	chr3L_21875001	chr2R_5540001	chr3R_11305001
	chr3L_22025001	chr2R_5580001	chr3R_11455001
	chr3L_22215001	chr2R_5595001	chr3R_11475001
	chr3L_22320001	chr2R_5670001	chr3R_11535001
	chr3L_22335001	chr2R_5700001	chr3R_11555001
	chr3L_22345001	chr2R_5775001	chr3R_11640001
	chr3L_22560001	chr2R_5800001	chr3R_11655001
	chr3L_22720001	chr2R_5820001	chr3R_11720001
	chr3L_22730001	chr2R_5820001	chr3R_11760001
	chr3L_23025001	chr2R_5840001	chr3R_11910001
	chr3L_23115001	chr2R_5875001	chr3R_12530001
	chr3L_23280001	chr2R_5885001	chr3R_13100001
	chr3L_23685001	chr2R_5935001	chr3R_13500001
	chr3L_24270001	chr2R_6005001	chr3R_13540001
	chr3L_24515001	chr2R_6020001	chr3R_13725001
	chr3L_25230001	chr2R_6070001	chr3R_14305001
	chr3L_27415001	chr2R_6225001	chr3R_14685001
	chr3R_720001	chr2R_6415001	chr3R_14735001
	chr3R_875001	chr2R_6435001	chr3R_15290001
	chr3R_1250001	chr2R_6570001	chr3R_15720001
	chr3R_2470001	chr2R_6735001	chr3R_15805001
	chr3R_2995001	chr2R_6755001	chr3R_15830001
	chr3R_4080001	chr2R_6775001	chr3R_16105001
	chr3R_4190001	chr2R_6820001	chr3R_16345001
	chr3R_4385001	chr2R_6965001	chr3R_16505001
	chr3R_4545001	chr2R_7170001	chr3R_16795001
	chr3R_4550001	chr2R_7170001	chr3R_16960001
	chr3R_4550001	chr2R_7170001	chr3R_17180001
	chr3R_5030001	chr2R_7285001	chr3R_17270001
	chr3R_5245001	chr2R_7405001	chr3R_17450001
	chr3R_5670001	chr2R_7470001	chr3R_18345001
	chr3R_5770001	chr2R_7475001	chr3R_18615001
	chr3R_6560001	chr2R_7510001	chr3R_18940001
	chr3R_6560001	chr2R_7560001	chr3R_19715001
	chr3R_6620001	chr2R_7600001	chr3R_19725001
	chr3R_6735001	chr2R_7655001	chr3R_19820001
	chr3R_6750001	chr2R_7725001	chr3R_20255001
	chr3R_6885001	chr2R_7730001	chr3R_20880001
	chr3R_6995001	chr2R_7755001	chr3R_20905001
	chr3R_7430001	chr2R_7770001	chr3R_21590001
	chr3R_7475001	chr2R_7910001	chr3R_21890001
	chr3R_7490001	chr2R_7910001	chr3R_22265001
	chr3R_7490001	chr2R_7940001	chr3R_23100001
	chr3R_7555001	chr2R_7965001	chr3R_23180001
	chr3R_8745001	chr2R_7995001	chr3R_23365001
	chr3R_9955001	chr2R_8005001	chr3R_23960001
	chr3R_10095001	chr2R_8065001	chr3R_24015001
	chr3R_10395001	chr2R_8140001	chr3R_24265001
	chr3R_10815001	chr2R_8140001	chr3R_24365001
	chr3R_10905001	chr2R_8175001	chr3R_24745001
	chr3R_10930001	chr2R_8190001	chr3R_24745001
	chr3R_11150001	chr2R_8245001	chr3R_25365001
	chr3R_11275001	chr2R_8275001	chr3R_25520001
	chr3R_11535001	chr2R_8295001	chr3R_26100001
	chr3R_12530001	chr2R_8310001	chr3R_26470001
	chr3R_12545001	chr2R_8345001	chr3R_26525001
	chr3R_12785001	chr2R_8410001	chr3R_26655001
	chr3R_12790001	chr2R_8430001	chr3R_26700001
	chr3R_12865001	chr2R_8440001	chr3R_26780001
	chr3R_13500001	chr2R_8440001	chr3R_26965001
	chr3R_13540001	chr2R_8445001	chr3R_27135001
	chr3R_13620001	chr2R_8480001	chr3R_27765001
	chr3R_13730001	chr2R_8495001	chr3R_27840001
	chr3R_14840001	chr2R_8565001	chr3R_28100001
	chr3R_14840001	chr2R_8640001	chr3R_28140001
	chr3R_14870001	chr2R_8685001	chr3R_28655001
	chr3R_14910001	chr2R_8810001	chr3R_28795001
	chr3R_14955001	chr2R_8965001	chr3R_28945001
	chr3R_15090001	chr2R_9050001	chr3R_29325001
	chr3R_15115001	chr2R_9110001	chr3R_29360001
	chr3R_16105001	chr2R_9195001	chr3R_29385001
	chr3R_16345001	chr2R_9210001	chr3R_29470001
	chr3R_16580001	chr2R_9405001	chr3R_29485001
	chr3R_17240001	chr2R_9425001	chr3R_29820001
	chr3R_17285001	chr2R_9450001	chr3R_29845001
	chr3R_18345001	chr2R_9460001	chr3R_29865001
	chr3R_18625001	chr2R_9510001	chr3R_29925001
	chr3R_18800001	chr2R_9710001	chr3R_30130001
	chr3R_19300001	chr2R_9740001	chr3R_30815001
	chr3R_19555001	chr2R_9775001	chr3R_31285001
	chr3R_19755001	chr2R_9850001	chr3R_31640001
	chr3R_20680001	chr2R_9870001	chr4_155001
	chr3R_20965001	chr2R_9950001	chr4_440001
	chr3R_21655001	chr2R_9950001	chr4_500001
	chr3R_22095001	chr2R_10010001	chr4_510001
	chr3R_22125001	chr2R_10030001	chr4_1035001
	chr3R_22205001	chr2R_10040001	chr4_1035001
	chr3R_22345001	chr2R_10050001	chr4_1035001
	chr3R_22860001	chr2R_10080001	chrX_325001
	chr3R_22965001	chr2R_10120001	chrX_340001
	chr3R_23155001	chr2R_10130001	chrX_350001
	chr3R_23450001	chr2R_10355001	chrX_605001
	chr3R_23865001	chr2R_10390001	chrX_690001
	chr3R_24575001	chr2R_10455001	chrX_705001
	chr3R_25315001	chr2R_10550001	chrX_1110001
	chr3R_25365001	chr2R_10605001	chrX_1175001
	chr3R_25520001	chr2R_10620001	chrX_1370001
	chr3R_25535001	chr2R_10670001	chrX_1610001
	chr3R_26260001	chr2R_10775001	chrX_2105001
	chr3R_26265001	chr2R_10825001	chrX_2350001
	chr3R_26640001	chr2R_11110001	chrX_2510001
	chr3R_26705001	chr2R_11115001	chrX_2560001
	chr3R_26760001	chr2R_11185001	chrX_2590001
	chr3R_27190001	chr2R_11185001	chrX_2615001
	chr3R_27325001	chr2R_11190001	chrX_2760001
	chr3R_27405001	chr2R_11225001	chrX_2780001
